TransactionID,CustomerID,CustomerName,CustomerCity,ProductName,ProductCategory,TotalAmount,Quantity,TransactionDate
1,81,Customer 39,Chicago,Adidas Jacket,Clothing,632.39,3,2024-03-09
2,13,Customer 63,Philadelphia,Samsung TV,Music,114.28,3,2024-12-08
3,18,Customer 98,Chicago,Adidas Jacket,Computers,1289.24,7,2024-01-22
4,76,Customer 39,Houston,Dell Laptop,Computers,885.4,2,2024-07-02
5,86,Customer 45,New York,Nike Shoes,Computers,95.95,5,2024-08-13
6,37,Customer 8,Philadelphia,Adidas Jacket,Electronics,1126.34,2,2024-04-15
7,45,Customer 83,New York,HP Printer,Clothing,78.71,3,2024-05-02
8,11,Customer 60,Chicago,Samsung TV,Music,871.93,3,2024-04-30
9,13,Customer 69,Houston,iPhone 14,Music,1347.56,8,2024-08-08
10,55,Customer 24,Chicago,Sony Headphones,Books,633.51,1,2024-06-23
11,100,Customer 95,Philadelphia,HP Printer,Movies,572.43,6,2024-12-09
12,89,Customer 22,Philadelphia,Adidas Jacket,Electronics,1208.43,5,2024-03-14
13,56,Customer 62,Phoenix,Dell Laptop,Electronics,1337.94,8,2024-02-15
14,19,Customer 100,Phoenix,Nike Shoes,Books,32.29,3,2024-12-11
15,1,Customer 52,New York,Nike Shoes,Clothing,602.79,5,2024-01-05
16,78,Customer 20,Chicago,HP Printer,Electronics,1476.49,3,2024-05-29
17,2,Customer 38,New York,Sony Headphones,Electronics,520.91,1,2024-06-16
18,5,Customer 15,Phoenix,Dell Laptop,Books,1012.57,8,2024-12-08
19,7,Customer 1,Phoenix,Sony Headphones,Computers,834.08,5,2024-07-24
20,27,Customer 57,Chicago,Dell Laptop,Computers,1176.07,4,2024-06-25
21,31,Customer 1,Houston,HP Printer,Music,259.44,5,2024-04-27
22,80,Customer 4,New York,iPhone 14,Books,1424.99,7,2024-02-01
23,57,Customer 50,Chicago,HP Printer,Computers,897.63,5,2024-01-30
24,88,Customer 30,Phoenix,Nike Shoes,Computers,1168.05,1,2024-10-08
25,97,Customer 17,New York,iPhone 14,Movies,999.24,2,2024-02-03
26,34,Customer 7,Philadelphia,iPhone 14,Computers,504.96,4,2024-02-26
27,6,Customer 27,Philadelphia,HP Printer,Electronics,88.45,3,2024-05-07
28,54,Customer 41,Los Angeles,Adidas Jacket,Music,703.88,6,2024-05-27
29,3,Customer 23,New York,Samsung TV,Clothing,1392.13,5,2024-04-30
30,98,Customer 48,Houston,Samsung TV,Books,294.82,3,2024-03-05
31,11,Customer 30,Chicago,Adidas Jacket,Clothing,1219.37,1,2024-10-12
32,21,Customer 62,Chicago,Sony Headphones,Electronics,1416.35,1,2024-01-01
