Respondent_ID,Question,Response
1,Product_Quality,5
1,Customer_Service,4
1,Value_for_Money,3
1,Delivery_Speed,4
1,Overall_Satisfaction,3
2,Product_Quality,1
2,Customer_Service,3
2,Value_for_Money,2
2,Delivery_Speed,3
2,Overall_Satisfaction,1
3,Product_Quality,3
3,Customer_Service,3
3,Value_for_Money,2
3,Delivery_Speed,3
3,Overall_Satisfaction,5
4,Product_Quality,3
4,Customer_Service,5
4,Value_for_Money,4
4,Delivery_Speed,1
4,Overall_Satisfaction,5
5,Product_Quality,5
5,Customer_Service,1
5,Value_for_Money,4
5,Delivery_Speed,4
5,Overall_Satisfaction,5
6,Product_Quality,2
6,Customer_Service,1
6,Value_for_Money,4
6,Delivery_Speed,4
6,Overall_Satisfaction,5
7,Product_Quality,2
7,Customer_Service,2
7,Value_for_Money,3
7,Delivery_Speed,2
7,Overall_Satisfaction,3
8,Product_Quality,3
8,Customer_Service,5
8,Value_for_Money,3
8,Delivery_Speed,2
8,Overall_Satisfaction,5
9,Product_Quality,2
9,Customer_Service,5
9,Value_for_Money,2
9,Delivery_Speed,4
9,Overall_Satisfaction,2
10,Product_Quality,4
10,Customer_Service,1
10,Value_for_Money,4
10,Delivery_Speed,5
10,Overall_Satisfaction,1
11,Product_Quality,4
11,Customer_Service,5
11,Value_for_Money,4
11,Delivery_Speed,5
11,Overall_Satisfaction,4
12,Product_Quality,3
12,Customer_Service,4
12,Value_for_Money,2
12,Delivery_Speed,4
12,Overall_Satisfaction,4
13,Product_Quality,4
13,Customer_Service,4
13,Value_for_Money,4
13,Delivery_Speed,1
13,Overall_Satisfaction,2
14,Product_Quality,5
14,Customer_Service,1
14,Value_for_Money,3
14,Delivery_Speed,3
14,Overall_Satisfaction,3
15,Product_Quality,1
15,Customer_Service,1
15,Value_for_Money,3
15,Delivery_Speed,5
15,Overall_Satisfaction,2
16,Product_Quality,3
16,Customer_Service,5
16,Value_for_Money,3
16,Delivery_Speed,4
16,Overall_Satisfaction,4
17,Product_Quality,5
17,Customer_Service,3
17,Value_for_Money,5
17,Delivery_Speed,1
17,Overall_Satisfaction,5
18,Product_Quality,3
18,Customer_Service,4
18,Value_for_Money,2
18,Delivery_Speed,5
18,Overall_Satisfaction,5
19,Product_Quality,4
19,Customer_Service,5
19,Value_for_Money,4
19,Delivery_Speed,3
19,Overall_Satisfaction,4
20,Product_Quality,1
20,Customer_Service,1
20,Value_for_Money,1
20,Delivery_Speed,3
20,Overall_Satisfaction,3
21,Product_Quality,5
21,Customer_Service,4
21,Value_for_Money,4
21,Delivery_Speed,1
21,Overall_Satisfaction,4
22,Product_Quality,4
22,Customer_Service,2
22,Value_for_Money,1
22,Delivery_Speed,4
22,Overall_Satisfaction,5
23,Product_Quality,3
23,Customer_Service,4
23,Value_for_Money,3
23,Delivery_Speed,1
23,Overall_Satisfaction,5
24,Product_Quality,4
24,Customer_Service,2
24,Value_for_Money,2
24,Delivery_Speed,1
24,Overall_Satisfaction,2
25,Product_Quality,3
25,Customer_Service,2
25,Value_for_Money,5
25,Delivery_Speed,3
25,Overall_Satisfaction,3
26,Product_Quality,5
26,Customer_Service,5
26,Value_for_Money,5
26,Delivery_Speed,5
26,Overall_Satisfaction,5
27,Product_Quality,5
27,Customer_Service,4
27,Value_for_Money,4
27,Delivery_Speed,3
27,Overall_Satisfaction,1
28,Product_Quality,2
28,Customer_Service,3
28,Value_for_Money,4
28,Delivery_Speed,5
28,Overall_Satisfaction,5
29,Product_Quality,1
29,Customer_Service,1
29,Value_for_Money,2
29,Delivery_Speed,5
29,Overall_Satisfaction,4
30,Product_Quality,2
30,Customer_Service,4
30,Value_for_Money,2
30,Delivery_Speed,5
30,Overall_Satisfaction,4
31,Product_Quality,3
31,Customer_Service,2
31,Value_for_Money,3
31,Delivery_Speed,2
31,Overall_Satisfaction,2
32,Product_Quality,4
32,Customer_Service,4
32,Value_for_Money,1
32,Delivery_Speed,2
32,Overall_Satisfaction,3
33,Product_Quality,1
33,Customer_Service,2
33,Value_for_Money,3
33,Delivery_Speed,1
33,Overall_Satisfaction,5
